element_type,osmid,geometry
node,5263136422,POINT (-0.2609688 51.6277341)
node,5278307684,POINT (-0.1194677 51.5015819)
node,5299290161,POINT (-0.1914399 51.5017737)
node,5448252759,POINT (-0.175029 51.5015959)
node,5520405422,POINT (-0.0790202 51.5178766)
node,5525594372,POINT (-0.102142 51.377371)
node,5526329652,POINT (-0.0363365 51.5851267)
node,5568763422,POINT (-0.2045887 51.5178771)
node,5568763423,POINT (-0.1582367 51.5233879)
node,5584597791,POINT (-0.3036052 51.4754254)
node,5656900425,POINT (-0.1836332 51.5126165)
node,5657364621,POINT (-0.1387655 51.513122)
node,5713648051,POINT (-0.0975305 51.508247)
node,5926149941,POINT (-0.2951443 51.4833366)
node,5926159640,POINT (-0.295031 51.4837854)
node,6085469535,POINT (0.1459718 51.5947166)
node,6087888534,POINT (-0.0724666 51.5209656)
node,6344035585,POINT (-0.205049 51.5178746)
node,6359405651,POINT (-0.3064302 51.4451418)
node,6447783073,POINT (-0.2059899 51.5167933)
node,6448535913,POINT (-0.0937283 51.5174951)
node,6571984977,POINT (-0.1208758 51.5098416)
node,6640200412,POINT (-0.1415746 51.5761442)
node,6717361002,POINT (-0.1271403 51.4990317)
node,6969250585,POINT (-0.0726718 51.5209784)
node,6970472925,POINT (-0.1773413 51.532053)
node,7101131586,POINT (-0.1501528 51.5150919)
node,7217664648,POINT (-0.2050078 51.5177203)
node,7574982627,POINT (-0.1243083 51.2867913)
node,7717850286,POINT (-0.1203485 51.5228484)
node,7717870885,POINT (-0.1196704 51.5018597)
node,8047384526,POINT (-0.1286073 51.5190177)
node,8047413197,POINT (-0.1004668 51.5135945)
node,8090570828,POINT (-0.1714343 51.4941953)
node,8280936617,POINT (-0.1406549 51.4697018)
node,8837108745,POINT (-0.2960438 51.4819292)
node,9572969517,POINT (-0.0823283 51.5218639)
node,9587468617,POINT (-0.1223979 51.5196492)
node,9792388117,POINT (-0.1130322 51.5945025)
node,9905532017,POINT (-0.1101461 51.50786)
node,10033618550,POINT (-0.176706 51.4927616)
node,10046275960,POINT (-0.1400236 51.5112054)
node,10656359430,POINT (-0.1238319 51.5003896)
node,10805826757,POINT (-0.1198903 51.486771)
node,10816748382,POINT (-0.1194183 51.4869414)
node,10816748383,POINT (-0.1194901 51.487143)
node,10832550379,POINT (-0.1190772 51.4872734)
node,10846665036,POINT (-0.1195308 51.4872757)
node,10980852370,POINT (-0.2074394 51.5086645)
node,10985339607,POINT (-0.0882914 51.5059542)
node,10994805432,POINT (-0.148339 51.5332998)
node,10996315066,POINT (-0.1099596 51.5143474)
node,11014068821,POINT (-0.1544873 51.5365289)
node,11018911465,POINT (-0.1850078 51.4622122)
node,11073648896,POINT (-0.0014766 51.4524575)
way,4082589,"POLYGON ((-0.1297143 51.5106737, -0.12971 51.5104668, -0.1296295 51.5102701, -0.1296583 51.5101968, -0.1296865 51.5101826, -0.1297396 51.5101568, -0.1298012 51.5101442, -0.1298409 51.5101634, -0.130004 51.5101384, -0.1300195 51.5101089, -0.1301025 51.5100894, -0.1302009 51.5100923, -0.130273 51.5100964, -0.1303094 51.5101091, -0.1303571 51.5101303, -0.1304141 51.5102113, -0.1304613 51.5102898, -0.130589 51.5104008, -0.1306314 51.5104736, -0.1305865 51.5105258, -0.1305256 51.5105734, -0.1304296 51.510618, -0.1302626 51.5106718, -0.130072 51.5107431, -0.1300082 51.5107722, -0.1299156 51.5107844, -0.129861 51.5107796, -0.1298262 51.5107748, -0.1297519 51.5107304, -0.1297143 51.5106737))"
way,4255486,"POLYGON ((-0.1662043 51.5595821, -0.1662766 51.5595633, -0.1662472 51.559662, -0.1663796 51.5599088, -0.1664391 51.5601067, -0.1664018 51.5603672, -0.1664807 51.5606209, -0.1664898 51.5606304, -0.1667734 51.5608464, -0.1666401 51.5609196, -0.1666246 51.5609281, -0.1663088 51.5607329, -0.166194 51.5606634, -0.1657256 51.5601343, -0.1654141 51.5597933, -0.1655661 51.5597582, -0.1657309 51.5597079, -0.1662043 51.5595821))"
way,4256958,"POLYGON ((-0.1276619 51.5055016, -0.1275111 51.5051609, -0.1274763 51.5050388, -0.1274012 51.5050468, -0.1273492 51.5048941, -0.1274335 51.5048855, -0.1274126 51.5048228, -0.1273849 51.5047344, -0.1273586 51.5046483, -0.1273421 51.504591, -0.1272509 51.5046005, -0.1272113 51.504467, -0.1272826 51.5044573, -0.1272482 51.5043384, -0.1271502 51.5043524, -0.1270948 51.5040772, -0.1270861 51.50397, -0.1271001 51.5039704, -0.1272199 51.5039597, -0.1273849 51.5039449, -0.1284086 51.5038534, -0.1288295 51.5038154, -0.1288646 51.5038289, -0.1289324 51.5038557, -0.1289861 51.5040227, -0.1290922 51.5043532, -0.1290706 51.5043893, -0.1290423 51.5044366, -0.1290695 51.5045384, -0.1290967 51.5046402, -0.1291411 51.5046663, -0.1292033 51.5047028, -0.1292185 51.5047559, -0.1292733 51.5049161, -0.129335 51.5051059, -0.1293963 51.5051985, -0.129378 51.505251, -0.1293613 51.5052991, -0.1290684 51.5053319, -0.1287266 51.5053702, -0.1283562 51.5054189, -0.128349 51.5054017, -0.1282211 51.5054165, -0.1282099 51.5054047, -0.1280788 51.5054219, -0.1280801 51.5054373, -0.1279434 51.5054592, -0.1279387 51.5054743, -0.1277758 51.5054985, -0.1277699 51.5054785, -0.1277293 51.5054819, -0.1277154 51.5054929, -0.1276619 51.5055016))"
way,4361223,"LINESTRING (-0.1282832 51.510714, -0.1270312 51.5107406)"
way,4680891,"POLYGON ((-0.128921 51.5301445, -0.1287076 51.5302289, -0.1286819 51.5302389, -0.1284426 51.5303335, -0.1284367 51.5303277, -0.1283259 51.5303714, -0.1283095 51.5303553, -0.1278686 51.5305295, -0.127862 51.530523, -0.1278525 51.5305268, -0.1278579 51.5305469, -0.1279013 51.5305424, -0.1279097 51.5305444, -0.1281128 51.5305234, -0.1282088 51.5308826, -0.1282556 51.5308778, -0.1282758 51.5309532, -0.1282234 51.5309586, -0.1282261 51.5309686, -0.1277294 51.5310199, -0.1277272 51.531012, -0.1276746 51.5310174, -0.1276499 51.5309246, -0.1276275 51.5309269, -0.1276249 51.5308493, -0.1276164 51.5308174, -0.1276211 51.5308169, -0.1275732 51.5306377, -0.127421 51.5306987, -0.1273858 51.5306647, -0.1273032 51.5306978, -0.1273134 51.5307363, -0.1271593 51.5307522, -0.1271359 51.5306649, -0.1270647 51.5306722, -0.1270659 51.5306768, -0.1269413 51.5306897, -0.1268997 51.5305339, -0.1268722 51.5305367, -0.1266247 51.5296387, -0.126499 51.5291825, -0.1264963 51.5291727, -0.1269718 51.5289846, -0.1271386 51.5295901, -0.1271632 51.5296793, -0.1273266 51.5296148, -0.1273069 51.5296036, -0.1273886 51.5295714, -0.1274702 51.5295391, -0.1274764 51.5295556, -0.1275004 51.5295461, -0.1275082 51.5295538, -0.1280191 51.529352, -0.1280326 51.5293652, -0.128099 51.529339, -0.128921 51.5301445))"
way,4768526,"POLYGON ((-0.1324589 51.593685, -0.1325296 51.593733, -0.1319006 51.594107, -0.1320148 51.5941863, -0.1325199 51.593904, -0.1326477 51.5939954, -0.1325107 51.5940651, -0.1324887 51.594052, -0.132378 51.5941083, -0.132083 51.5942585, -0.1317176 51.594474, -0.1313846 51.5946629, -0.1311123 51.5948172, -0.1304081 51.5952577, -0.1304359 51.5952801, -0.1303074 51.5953515, -0.1300377 51.5951661, -0.12988 51.5952616, -0.1298065 51.5952127, -0.12967 51.5952917, -0.1294898 51.5951782, -0.129476 51.5951841, -0.1293697 51.5951112, -0.1292634 51.5950382, -0.1292836 51.5950216, -0.129092 51.5949018, -0.1292384 51.5948248, -0.1291713 51.5947723, -0.1293258 51.5946869, -0.1291632 51.594581, -0.1292894 51.5945082, -0.1292202 51.5944627, -0.1297782 51.5941242, -0.1299271 51.5940339, -0.1298997 51.594015, -0.1300943 51.5939115, -0.1300044 51.5938552, -0.1301617 51.5937633, -0.1303183 51.5936739, -0.1304018 51.593734, -0.1305466 51.5936472, -0.1307073 51.5935508, -0.1312438 51.5932291, -0.1313807 51.5931513, -0.1315026 51.5932376, -0.1314398 51.5932732, -0.1316332 51.5933979, -0.1316875 51.5933666, -0.1316537 51.5933371, -0.1318221 51.5932519, -0.1318893 51.5932995, -0.1320158 51.5932221, -0.1321825 51.5933225, -0.1322069 51.5933043, -0.1324326 51.5934514, -0.1323795 51.5934803, -0.1325796 51.593616, -0.1324589 51.593685))"
way,4806085,"POLYGON ((-0.2956609 51.4711974, -0.2957775 51.4712026, -0.295831 51.4712476, -0.2958252 51.4712983, -0.295751 51.4713409, -0.2956479 51.4713339, -0.2955929 51.4712894, -0.2955975 51.471238, -0.2956609 51.4711974))"
way,4940708,"POLYGON ((-0.348928 51.5121141, -0.3489381 51.5120711, -0.3490233 51.5117081, -0.3496983 51.5117694, -0.3496031 51.5121754, -0.348928 51.5121141))"
way,4959489,"POLYGON ((-0.0799263 51.5144703, -0.0799405 51.5144044, -0.0799815 51.514343, -0.0800466 51.5142903, -0.0801313 51.5142498, -0.0802299 51.5142244, -0.0803357 51.5142156, -0.0804416 51.5142242, -0.0805404 51.5142494, -0.0806256 51.5142899, -0.080691 51.5143426, -0.0807323 51.5144042, -0.0807465 51.5144703, -0.0807327 51.5145365, -0.0806917 51.5145983, -0.0806264 51.5146513, -0.0805412 51.5146919, -0.080442 51.5147174, -0.0803355 51.514726, -0.0802294 51.5147172, -0.0801306 51.5146916, -0.0800458 51.5146509, -0.0799808 51.5145979, -0.0799401 51.5145363, -0.0799263 51.5144703))"
way,4959880,"POLYGON ((-0.1791058 51.4969287, -0.1789076 51.4969448, -0.1789163 51.4969866, -0.1789575 51.4971834, -0.1789684 51.4972351, -0.1790527 51.4972283, -0.1790629 51.4972768, -0.1791767 51.4972675, -0.1791058 51.4969287))"
way,4960879,"POLYGON ((-0.0680415 51.4228, -0.0680541 51.422784, -0.0681073 51.4227168, -0.0682084 51.4226596, -0.0683205 51.422634, -0.0683557 51.422626, -0.0685222 51.4226339, -0.0685545 51.4226451, -0.068663 51.4226828, -0.0687429 51.4227442, -0.0687692 51.4227915, -0.0687884 51.4228261, -0.068784 51.4228938, -0.0687825 51.4229164, -0.0687456 51.4229763, -0.0686883 51.4230198, -0.0686801 51.423026, -0.0686615 51.4230399, -0.0686171 51.4230593, -0.06856 51.4230785, -0.0685334 51.4230874, -0.0684529 51.423095, -0.0684004 51.4231, -0.0682642 51.4230819, -0.0681592 51.4230412, -0.0681315 51.42302, -0.0680777 51.4229788, -0.0680346 51.4229044, -0.0680415 51.4228))"
way,4965216,"POLYGON ((-0.1455049 51.4824815, -0.1456932 51.4819445, -0.1458606 51.4814883, -0.1456581 51.4814597, -0.1456719 51.4814186, -0.1455109 51.4813932, -0.145561 51.4812521, -0.1453202 51.4812173, -0.1453605 51.4811162, -0.1451616 51.481089, -0.1450148 51.4810689, -0.144977 51.4811679, -0.1448916 51.481155, -0.144861 51.4811504, -0.1448296 51.4811456, -0.1446738 51.4811221, -0.1446314 51.4811157, -0.1446663 51.4810148, -0.1445587 51.4810004, -0.1443279 51.4809694, -0.1443126 51.4810135, -0.1438838 51.4809546, -0.1438275 51.4811146, -0.1436686 51.4810922, -0.1434658 51.4816012, -0.1433717 51.4815898, -0.1433036 51.4817736, -0.1434043 51.4817866, -0.1432431 51.4822705, -0.1434274 51.4822965, -0.1434244 51.4823053, -0.1435665 51.4823237, -0.1435689 51.4823166, -0.1437426 51.4823414, -0.1437057 51.4824453, -0.144128 51.4825034, -0.1441457 51.4824533, -0.1443458 51.4824788, -0.1445042 51.482499, -0.1444861 51.4825467, -0.1448225 51.4825962, -0.1448604 51.4824962, -0.1451085 51.4825317, -0.1451442 51.4824318, -0.1451649 51.4824346, -0.1455049 51.4824815))"
way,5022282,"POLYGON ((-0.1387245 51.5214108, -0.1387441 51.5213969, -0.1387697 51.5213875, -0.138802 51.5213833, -0.1388346 51.5213863, -0.1388636 51.521396, -0.1388855 51.5214113, -0.1388978 51.5214303, -0.1388989 51.5214508, -0.1388886 51.5214703, -0.1388683 51.5214864, -0.1388404 51.5214973, -0.1388113 51.5215014, -0.1387817 51.5214998, -0.1387543 51.5214925, -0.1387318 51.5214803, -0.1387166 51.5214644, -0.13871 51.5214463, -0.1387127 51.5214279, -0.1387245 51.5214108))"
way,5987419,"POLYGON ((-0.1175407 51.5056803, -0.1173955 51.5058315, -0.1172295 51.5059911, -0.1171091 51.5060946, -0.1169254 51.5062849, -0.1168191 51.5062352, -0.1166244 51.5061359, -0.1160284 51.5058343, -0.1165439 51.5053154, -0.1165904 51.5053331, -0.1175407 51.5056803))"
way,8877349,"POLYGON ((-0.0786949 51.5050478, -0.0786255 51.5050491, -0.0785572 51.5050413, -0.078493 51.5050248, -0.0784357 51.5050004, -0.0783891 51.5049707, -0.0783676 51.5049505, -0.0783521 51.5049322, -0.0783339 51.504909, -0.0783155 51.5048764, -0.0783079 51.5048518, -0.078305 51.5048321, -0.0783021 51.5048138, -0.0783046 51.5047848, -0.078309 51.5047664, -0.0783138 51.5047493, -0.07832 51.5047349, -0.0783295 51.5047147, -0.0783485 51.5046856, -0.0783769 51.5046559, -0.078405 51.5046348, -0.0784343 51.5046146, -0.0784554 51.5046038, -0.0784831 51.5045901, -0.078532 51.5045731, -0.0785531 51.5045679, -0.0785778 51.5045624, -0.078602 51.5045587, -0.0786261 51.5045566, -0.0786649 51.5045552, -0.0787213 51.5045596, -0.0787509 51.5045645, -0.0787945 51.5045758, -0.078836 51.5045933, -0.0788607 51.504605, -0.0788814 51.5046169, -0.0789133 51.5046367, -0.0789331 51.5046542, -0.07895 51.5046711, -0.0789745 51.5047008, -0.0789885 51.5047283, -0.0789958 51.5047487, -0.0790011 51.5047684, -0.0790044 51.504779, -0.0790073 51.5048039, -0.0790041 51.5048337, -0.0790006 51.5048513, -0.0789951 51.5048682, -0.0789809 51.5048988, -0.0789556 51.5049317, -0.0789357 51.5049508, -0.0789139 51.5049701, -0.07888 51.5049926, -0.078825 51.505019, -0.0787624 51.5050376, -0.0786949 51.5050478))"
way,10806964,"POLYGON ((-0.1623744 51.4852947, -0.1621214 51.4851532, -0.161823 51.4849577, -0.161362 51.4846586, -0.1611165 51.4844232, -0.1610257 51.4843347, -0.1609871 51.4842907, -0.1609684 51.4842711, -0.1609614 51.4842545, -0.1609665 51.4842443, -0.1609779 51.4842352, -0.161009 51.4842297, -0.1618983 51.4841032, -0.1626569 51.484002, -0.1626869 51.4840955, -0.1628744 51.4842082, -0.163215 51.4844057, -0.1633613 51.4844815, -0.1623744 51.4852947))"
way,10810446,"POLYGON ((-0.1401268 51.4961258, -0.1399545 51.496186, -0.1399833 51.4962163, -0.1397621 51.496298, -0.1397332 51.4962677, -0.1395294 51.4963414, -0.1394775 51.4962915, -0.1394001 51.4962149, -0.1394064 51.4962124, -0.1391743 51.4959839, -0.1391716 51.4959856, -0.139028 51.4958392, -0.1390039 51.4958139, -0.1390075 51.4958125, -0.1389121 51.4957193, -0.1389121 51.4957084, -0.1389382 51.4956988, -0.1389141 51.4956742, -0.1389207 51.4956709, -0.1389131 51.4956623, -0.1389107 51.4956535, -0.1389192 51.4956386, -0.1389322 51.4956297, -0.1389563 51.4956247, -0.1389821 51.4956205, -0.1389654 51.4956036, -0.1389671 51.4955915, -0.1389978 51.4955795, -0.1390153 51.4955834, -0.1389876 51.4955584, -0.1389775 51.4955448, -0.1389573 51.4955443, -0.1389577 51.4955322, -0.1389712 51.4955331, -0.1389691 51.4955126, -0.1389738 51.4954926, -0.1389602 51.4954901, -0.1389656 51.4954744, -0.1389825 51.4954796, -0.1389939 51.4954682, -0.1390039 51.4954608, -0.1390203 51.4954532, -0.1390384 51.4954463, -0.1390607 51.4954403, -0.1390965 51.4954363, -0.1390976 51.495426, -0.1391196 51.4954229, -0.1391196 51.495408, -0.1391149 51.4953931, -0.1391629 51.4953738, -0.1393484 51.4952968, -0.1394546 51.4954011, -0.1394115 51.4954191, -0.1394798 51.4954879, -0.1395128 51.4955212, -0.1396126 51.4956217, -0.1396417 51.4956521, -0.1401268 51.4961258))"
way,13870446,"POLYGON ((-0.1877176 51.406662, -0.1875285 51.4065394, -0.1873167 51.4064397, -0.1868903 51.4062951, -0.1868257 51.4063032, -0.1853722 51.4076663, -0.1845643 51.4084241, -0.1848793 51.4085076, -0.1849376 51.4085101, -0.1854306 51.4086453, -0.1854694 51.4086364, -0.1856129 51.4085456, -0.1856719 51.4084988, -0.1860729 51.4081458, -0.1862054 51.4080259, -0.186659 51.4076154, -0.1868259 51.4074655, -0.1869899 51.407305, -0.1872017 51.4070954, -0.1875624 51.4067801, -0.1877176 51.406662))"
way,17110975,"POLYGON ((0.0478437 51.4470598, 0.0478508 51.4470797, 0.0476116 51.4471126, 0.0475566 51.446957, 0.0477946 51.4469243, 0.0478026 51.4469472, 0.0485647 51.4468426, 0.0485912 51.4469176, 0.0486242 51.4469131, 0.0486854 51.4469557, 0.0486756 51.4469769, 0.0487982 51.4469988, 0.0486507 51.4473184, 0.0485978 51.4473089, 0.0485885 51.447329, 0.0485123 51.4473153, 0.0485223 51.4472938, 0.0484747 51.4472853, 0.0485407 51.4471424, 0.0484708 51.4471185, 0.0484046 51.4470852, 0.0483531 51.4470479, 0.0483061 51.4469963, 0.0478437 51.4470598))"
way,24010915,"POLYGON ((-0.1815528 51.4757844, -0.1815466 51.4757995, -0.1815322 51.475813, -0.1815173 51.4758241, -0.1814961 51.4758333, -0.1814678 51.4758384, -0.181436 51.4758367, -0.1810497 51.4757119, -0.1804409 51.4755139, -0.1804288 51.4754988, -0.1805008 51.4752392, -0.1806475 51.4750267, -0.1806486 51.4750127, -0.1806405 51.4749947, -0.180568 51.4749489, -0.1806137 51.4749389, -0.1806305 51.4749039, -0.1806895 51.4749463, -0.1807252 51.4749486, -0.1807617 51.4749358, -0.180974 51.4748131, -0.1810003 51.4748111, -0.1810293 51.4748225, -0.1816241 51.4752068, -0.1816526 51.4752409, -0.1815528 51.4757844))"
way,24436429,"POLYGON ((-0.1746742 51.4962462, -0.1746592 51.4961661, -0.1743824 51.4961861, -0.1743974 51.4962662, -0.1746742 51.4962462))"
way,24653374,"POLYGON ((-0.1671045 51.5713903, -0.1671379 51.5714411, -0.1671578 51.5714713, -0.1670904 51.5714885, -0.1671225 51.5715373, -0.1670195 51.5715635, -0.1665959 51.5716712, -0.1667856 51.5719504, -0.1668441 51.5719352, -0.1669537 51.5718146, -0.1670858 51.5717828, -0.1672405 51.5716211, -0.1674878 51.571558, -0.1674967 51.5715752, -0.1676319 51.5715405, -0.1675667 51.5714415, -0.1676455 51.5714211, -0.1676559 51.571437, -0.1678273 51.5713934, -0.1678164 51.5713768, -0.1678972 51.5713559, -0.1679628 51.5714556, -0.1680952 51.5714216, -0.1680854 51.5714068, -0.1681113 51.5714002, -0.1680065 51.5712411, -0.1681232 51.5712114, -0.1681118 51.571194, -0.1681236 51.571191, -0.1680897 51.5711396, -0.1678271 51.5712064, -0.1678312 51.5712126, -0.167769 51.5712282, -0.1677651 51.5712222, -0.1674367 51.5713057, -0.1674402 51.5713111, -0.1673817 51.5713258, -0.1673783 51.5713206, -0.1671045 51.5713903))"
way,24923117,"POLYGON ((-0.1509392 51.5026098, -0.1509422 51.5025418, -0.1509457 51.5024682, -0.1509125 51.5024675, -0.1509139 51.5024382, -0.1507386 51.5024349, -0.1507375 51.5024585, -0.1506979 51.5024577, -0.150694 51.502538, -0.1506912 51.5026028, -0.1507225 51.5026033, -0.1507212 51.5026336, -0.1509049 51.5026367, -0.1509061 51.5026092, -0.1509392 51.5026098))"
way,25595637,"LINESTRING (-0.2626092 51.4847976, -0.2627684 51.4846411)"
way,25595644,"POLYGON ((-0.2582934 51.4851783, -0.2577501 51.4854378, -0.2571788 51.4857106, -0.2570534 51.4856089, -0.2573569 51.4854521, -0.257517 51.4853693, -0.2575117 51.4853409, -0.2575254 51.4853118, -0.2575685 51.485288, -0.2575905 51.4852798, -0.2576216 51.4852741, -0.2576724 51.4852755, -0.2577182 51.4852874, -0.2581688 51.4850786, -0.2582934 51.4851783))"
way,25599337,"POLYGON ((-0.2605319 51.4844844, -0.2604501 51.4844517, -0.260417 51.484429, -0.2603726 51.4843751, -0.2603603 51.4843168, -0.2603809 51.4842576, -0.26042 51.4842159, -0.2604924 51.4841756, -0.2605468 51.4841593, -0.2606427 51.4841494, -0.2607459 51.4841624, -0.2608281 51.4841947, -0.2608716 51.484226, -0.2609113 51.4842812, -0.2609193 51.4843328, -0.2608975 51.4843917, -0.2608388 51.4844462, -0.2607594 51.4844812, -0.2606819 51.4844959, -0.2605848 51.4844945, -0.2605319 51.4844844))"
way,25608663,"POLYGON ((-0.0097081 51.4831514, -0.0097242 51.4831193, -0.009731 51.4830756, -0.0097216 51.4830225, -0.0096391 51.4828186, -0.00953 51.4826024, -0.0095045 51.4825745, -0.0094739 51.482564, -0.0094427 51.4825663, -0.0094191 51.4825786, -0.0094073 51.4825949, -0.0094129 51.4826248, -0.0095012 51.4828434, -0.0095955 51.4830422, -0.0096318 51.4830928, -0.0096715 51.4831286, -0.0097081 51.4831514))"
way,25739565,"POLYGON ((-0.1617161 51.4992463, -0.1618988 51.4989916, -0.1619538 51.4989241, -0.1622247 51.4985921, -0.1622205 51.4985751, -0.1622321 51.4985585, -0.1622523 51.4985514, -0.1622869 51.4985635, -0.1623198 51.4985615, -0.1625678 51.4985454, -0.1627608 51.4985323, -0.1628291 51.4985346, -0.1629882 51.4985589, -0.1631711 51.4986074, -0.1633744 51.4986979, -0.1638066 51.4989122, -0.1639407 51.4989685, -0.1642351 51.4991082, -0.1643011 51.4991439, -0.164298 51.4991745, -0.1636377 51.4995617, -0.1633831 51.4997079, -0.1629325 51.4999517, -0.1628989 51.4999572, -0.1627907 51.4999014, -0.1621555 51.4995529, -0.1618841 51.499403, -0.1617523 51.4993273, -0.1617193 51.4993, -0.1617126 51.4992724, -0.1617161 51.4992463))"
way,27186036,"POLYGON ((-0.1759933 51.50639, -0.1760058 51.5063582, -0.1760207 51.5063492, -0.1760264 51.506332, -0.1760198 51.5063215, -0.176029 51.5062909, -0.1759672 51.5062826, -0.1759556 51.5063165, -0.1759432 51.5063252, -0.1759394 51.5063383, -0.175945 51.5063493, -0.1759337 51.5063835, -0.1759933 51.50639))"
way,27922125,"POLYGON ((-0.1431039 51.5183198, -0.1430695 51.5183077, -0.1430375 51.5183428, -0.1427874 51.5182548, -0.1428183 51.5182207, -0.1427809 51.5182076, -0.1429482 51.5180235, -0.143049 51.5180589, -0.14304 51.5180385, -0.1430415 51.51802, -0.1430515 51.5180007, -0.1430655 51.5179882, -0.1430848 51.5179766, -0.1431152 51.5179671, -0.1431485 51.5179631, -0.1431757 51.5179658, -0.1432032 51.5179714, -0.1432251 51.5179817, -0.1432456 51.5179967, -0.143259 51.5180149, -0.1432606 51.5180351, -0.1432574 51.5180522, -0.1432443 51.5180709, -0.1432213 51.518086, -0.1431936 51.518096, -0.1431643 51.5180994, -0.1432703 51.5181367, -0.1431039 51.5183198))"
way,29230799,"POLYGON ((-0.2616098 51.4855249, -0.2615583 51.4854981, -0.261508 51.4855342, -0.2614467 51.4855783, -0.2614982 51.4855997, -0.2616098 51.4855249))"
way,29230829,"POLYGON ((-0.2607085 51.4840939, -0.260739 51.4840915, -0.2607773 51.4840765, -0.2607941 51.4840604, -0.2608011 51.484039, -0.2607959 51.4840201, -0.2607819 51.4840046, -0.2607589 51.4839919, -0.2607303 51.4839849, -0.2607085 51.4839838, -0.2606785 51.483988, -0.2606479 51.4840013, -0.2606312 51.4840173, -0.2606245 51.4840342, -0.2606272 51.4840532, -0.2606437 51.4840734, -0.2606668 51.484086, -0.2607085 51.4840939))"
way,29254463,"POLYGON ((-0.2594498 51.4853396, -0.2594365 51.4853378, -0.259425 51.4853332, -0.2594167 51.4853265, -0.2594126 51.4853184, -0.2594124 51.4853137, -0.2594156 51.4853054, -0.2594232 51.4852984, -0.2594341 51.4852934, -0.2594533 51.4852909, -0.2594666 51.4852927, -0.2594781 51.4852973, -0.2594863 51.485304, -0.2594907 51.4853152, -0.2594883 51.4853236, -0.2594815 51.4853309, -0.2594711 51.4853364, -0.2594583 51.4853393, -0.2594498 51.4853396))"
